%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.current,field.lifePercent,field.lifeTime,field.charging,field.powerSupplyPresent
1519211585690397691,2830,1519211585689671993,,0.0,0.0,82,0,0,0
1519211586690839537,2831,1519211586690193891,,0.0,0.0,82,0,0,0
1519211587690814424,2832,1519211587690154075,,0.0,0.0,82,0,0,0
1519211588690832087,2833,1519211588690213918,,0.0,0.0,82,0,0,0
1519211589690271543,2834,1519211589689817905,,0.0,0.0,82,0,0,0
1519211590690824972,2835,1519211590690223932,,0.0,0.0,82,0,0,0
1519211591690926312,2836,1519211591690206050,,0.0,0.0,82,0,0,0
1519211592690729365,2837,1519211592690140962,,0.0,0.0,82,0,0,0
1519211593690793440,2838,1519211593690191984,,0.0,0.0,82,0,0,0
1519211594690405180,2839,1519211594689907073,,0.0,0.0,82,0,0,0
1519211595690184298,2840,1519211595689519882,,0.0,0.0,82,0,0,0
1519211596690739701,2841,1519211596690108060,,0.0,0.0,82,0,0,0
1519211597690740110,2842,1519211597690207004,,0.0,0.0,82,0,0,0
1519211598690704252,2843,1519211598690181970,,0.0,0.0,82,0,0,0
1519211599689716356,2844,1519211599689265012,,0.0,0.0,82,0,0,0
1519211600690646570,2845,1519211600690134048,,0.0,0.0,82,0,0,0
1519211601690633782,2846,1519211601690140962,,0.0,0.0,82,0,0,0
1519211602690832173,2847,1519211602690211057,,0.0,0.0,82,0,0,0
1519211603690742130,2848,1519211603690205097,,0.0,0.0,82,0,0,0
1519211604690671066,2849,1519211604690193891,,0.0,0.0,81,0,0,0
1519211605689960546,2850,1519211605689342975,,0.0,0.0,81,0,0,0
1519211606690472171,2851,1519211606689959049,,0.0,0.0,81,0,0,0
1519211607689891943,2852,1519211607689354896,,0.0,0.0,81,0,0,0
1519211608689997669,2853,1519211608689294099,,0.0,0.0,81,0,0,0
1519211609690933934,2854,1519211609690208911,,0.0,0.0,81,0,0,0
1519211610689897221,2855,1519211610689296960,,0.0,0.0,81,0,0,0
1519211611690465891,2856,1519211611689759969,,0.0,0.0,81,0,0,0
1519211612690554641,2857,1519211612689975976,,0.0,0.0,81,0,0,0
1519211613690835831,2858,1519211613690191030,,0.0,0.0,81,0,0,0
1519211614690236225,2859,1519211614689480066,,0.0,0.0,81,0,0,0
1519211615690783427,2860,1519211615690256118,,0.0,0.0,81,0,0,0
1519211616689963089,2861,1519211616689341068,,0.0,0.0,81,0,0,0
1519211617690791431,2862,1519211617690381050,,0.0,0.0,81,0,0,0
1519211618690898728,2863,1519211618690249919,,0.0,0.0,81,0,0,0
1519211619690609648,2864,1519211619690058946,,0.0,0.0,81,0,0,0
1519211620690767927,2865,1519211620690227985,,0.0,0.0,81,0,0,0
1519211621690946937,2866,1519211621690224885,,0.0,0.0,81,0,0,0
1519211622691055920,2867,1519211622690290927,,0.0,0.0,81,0,0,0
1519211623690479130,2868,1519211623689837932,,0.0,0.0,81,0,0,0
1519211624690671962,2869,1519211624690073966,,0.0,0.0,81,0,0,0
1519211625690467439,2870,1519211625690048933,,0.0,0.0,81,0,0,0
1519211626690174586,2871,1519211626689610958,,0.0,0.0,81,0,0,0
1519211627690199700,2872,1519211627689557075,,0.0,0.0,81,0,0,0
1519211628690771272,2873,1519211628690208911,,0.0,0.0,81,0,0,0
1519211629690815784,2874,1519211629690205097,,0.0,0.0,81,0,0,0
1519211630690666008,2875,1519211630690084934,,0.0,0.0,81,0,0,0
1519211631690617552,2876,1519211631690186023,,0.0,0.0,81,0,0,0
1519211632690975351,2877,1519211632690227031,,0.0,0.0,81,0,0,0
1519211633690007242,2878,1519211633689543962,,0.0,0.0,81,0,0,0
1519211634690598968,2879,1519211634689944982,,0.0,0.0,81,0,0,0
1519211635689952943,2880,1519211635689356088,,0.0,0.0,81,0,0,0
1519211636690920766,2881,1519211636690197944,,0.0,0.0,81,0,0,0
1519211637689983735,2882,1519211637689296960,,0.0,0.0,81,0,0,0
1519211638690721483,2883,1519211638690190076,,0.0,0.0,81,0,0,0
1519211639690409236,2884,1519211639689811944,,0.0,0.0,81,0,0,0
1519211640690802331,2885,1519211640690148115,,0.0,0.0,81,0,0,0
1519211641690556943,2886,1519211641690067052,,0.0,0.0,81,0,0,0
1519211642690767818,2887,1519211642690232038,,0.0,0.0,81,0,0,0
1519211643690527077,2888,1519211643689873933,,0.0,0.0,81,0,0,0
1519211644690817136,2889,1519211644690224885,,0.0,0.0,81,0,0,0
1519211645690761379,2890,1519211645690201044,,0.0,0.0,81,0,0,0
1519211646690705957,2891,1519211646690220117,,0.0,0.0,81,0,0,0
1519211647690793305,2892,1519211647690229892,,0.0,0.0,81,0,0,0
1519211648690877987,2893,1519211648690210103,,0.0,0.0,81,0,0,0
1519211649690317396,2894,1519211649689711093,,0.0,0.0,81,0,0,0
1519211650690877994,2895,1519211650690213918,,0.0,0.0,81,0,0,0
1519211651690781211,2896,1519211651690198898,,0.0,0.0,81,0,0,0
1519211652691045727,2897,1519211652689908027,,0.0,0.0,81,0,0,0
1519211653690141028,2898,1519211653689519882,,0.0,0.0,81,0,0,0
1519211654690736410,2899,1519211654690203905,,0.0,0.0,81,0,0,0
1519211655690733208,2900,1519211655690188884,,0.0,0.0,81,0,0,0
1519211656689815200,2901,1519211656689218997,,0.0,0.0,81,0,0,0
1519211657690569044,2902,1519211657689939022,,0.0,0.0,81,0,0,0
1519211658690775769,2903,1519211658690215110,,0.0,0.0,81,0,0,0
1519211659690696542,2904,1519211659690205097,,0.0,0.0,81,0,0,0
1519211660690750059,2905,1519211660690213918,,0.0,0.0,81,0,0,0
1519211661690654692,2906,1519211661690196990,,0.0,0.0,81,0,0,0
1519211662690836214,2907,1519211662690187931,,0.0,0.0,81,0,0,0
1519211663690794278,2908,1519211663690182924,,0.0,0.0,81,0,0,0
1519211664690432803,2909,1519211664689753055,,0.0,0.0,81,0,0,0
1519211665690466713,2910,1519211665689857959,,0.0,0.0,81,0,0,0
1519211666690929819,2911,1519211666690233945,,0.0,0.0,81,0,0,0
1519211667690820306,2912,1519211667690213918,,0.0,0.0,81,0,0,0
1519211668690915113,2913,1519211668690192937,,0.0,0.0,81,0,0,0
1519211669690713357,2914,1519211669690170049,,0.0,0.0,81,0,0,0
1519211670690188483,2915,1519211670689544916,,0.0,0.0,81,0,0,0
1519211671690609259,2916,1519211671690193891,,0.0,0.0,81,0,0,0
1519211672690088959,2917,1519211672689568042,,0.0,0.0,81,0,0,0
1519211673690199147,2918,1519211673689650058,,0.0,0.0,81,0,0,0
1519211674690049924,2919,1519211674689623117,,0.0,0.0,81,0,0,0
1519211675690896492,2920,1519211675690287113,,0.0,0.0,81,0,0,0
1519211676690127036,2921,1519211676689434051,,0.0,0.0,81,0,0,0
1519211677690811219,2922,1519211677690181016,,0.0,0.0,81,0,0,0
1519211678690823652,2923,1519211678690224885,,0.0,0.0,81,0,0,0
1519211679690769700,2924,1519211679690188884,,0.0,0.0,81,0,0,0
1519211680690787507,2925,1519211680690220117,,0.0,0.0,81,0,0,0
1519211681689940745,2926,1519211681689328908,,0.0,0.0,81,0,0,0
1519211682690056182,2927,1519211682689479112,,0.0,0.0,81,0,0,0
1519211683690010520,2928,1519211683689348936,,0.0,0.0,81,0,0,0
1519211684690254988,2929,1519211684689847946,,0.0,0.0,81,0,0,0
1519211685690517815,2930,1519211685689928054,,0.0,0.0,81,0,0,0
1519211686690688479,2931,1519211686690202951,,0.0,0.0,81,0,0,0
1519211687690797447,2932,1519211687690269947,,0.0,0.0,81,0,0,0
1519211688690733560,2933,1519211688690213918,,0.0,0.0,81,0,0,0
1519211689690470471,2934,1519211689689913988,,0.0,0.0,81,0,0,0
1519211690690602909,2935,1519211690690073013,,0.0,0.0,81,0,0,0
1519211691690052490,2936,1519211691689477920,,0.0,0.0,81,0,0,0
1519211692690272066,2937,1519211692689755916,,0.0,0.0,81,0,0,0
1519211693690448698,2938,1519211693689903020,,0.0,0.0,81,0,0,0
1519211694690613257,2939,1519211694690231084,,0.0,0.0,81,0,0,0
1519211695690043211,2940,1519211695689621925,,0.0,0.0,81,0,0,0
1519211696690749638,2941,1519211696690222978,,0.0,0.0,81,0,0,0
1519211697690847780,2942,1519211697690207958,,0.0,0.0,81,0,0,0
1519211698690456086,2943,1519211698689971923,,0.0,0.0,81,0,0,0
1519211699690697315,2944,1519211699690175056,,0.0,0.0,81,0,0,0
1519211700690290705,2945,1519211700689671039,,0.0,0.0,81,0,0,0
1519211701689942879,2946,1519211701689519882,,0.0,0.0,81,0,0,0
1519211702690258127,2947,1519211702689665079,,0.0,0.0,81,0,0,0
1519211703690727715,2948,1519211703690195083,,0.0,0.0,81,0,0,0
1519211704690758266,2949,1519211704690192937,,0.0,0.0,81,0,0,0
1519211705690935125,2950,1519211705690232038,,0.0,0.0,81,0,0,0
1519211706690705682,2951,1519211706690288066,,0.0,0.0,81,0,0,0
1519211707690745936,2952,1519211707690215110,,0.0,0.0,81,0,0,0
1519211708690318862,2953,1519211708689686059,,0.0,0.0,81,0,0,0
1519211709690538220,2954,1519211709690062999,,0.0,0.0,81,0,0,0
1519211710690700582,2955,1519211710690182924,,0.0,0.0,81,0,0,0
1519211711690907269,2956,1519211711690196037,,0.0,0.0,81,0,0,0
1519211712690450862,2957,1519211712690105915,,0.0,0.0,81,0,0,0
1519211713690712578,2958,1519211713690216064,,0.0,0.0,81,0,0,0
1519211714690717317,2959,1519211714690072059,,0.0,0.0,81,0,0,0
1519211715691031540,2960,1519211715690236091,,0.0,0.0,81,0,0,0
1519211716690862860,2961,1519211716690212965,,0.0,0.0,81,0,0,0
1519211717690820217,2962,1519211717690197944,,0.0,0.0,81,0,0,0
1519211718690790340,2963,1519211718690222024,,0.0,0.0,81,0,0,0
