%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.current,field.lifePercent,field.lifeTime,field.charging,field.powerSupplyPresent
1519273481688668000,41630,1519273481688213109,,0.0,0.0,11,0,0,0
1519273482688632045,41631,1519273482688175916,,0.0,0.0,11,0,0,0
1519273483688687142,41632,1519273483688184022,,0.0,0.0,11,0,0,0
1519273484688692589,41633,1519273484688206911,,0.0,0.0,11,0,0,0
1519273485688654088,41634,1519273485688080072,,0.0,0.0,11,0,0,0
1519273486688385532,41635,1519273486687815904,,0.0,0.0,11,0,0,0
1519273487688372753,41636,1519273487687661886,,0.0,0.0,11,0,0,0
1519273488688231163,41637,1519273488687594890,,0.0,0.0,11,0,0,0
1519273489688379906,41638,1519273489687978029,,0.0,0.0,11,0,0,0
1519273490688583257,41639,1519273490688227891,,0.0,0.0,11,0,0,0
1519273491688740374,41640,1519273491688033103,,0.0,0.0,11,0,0,0
1519273492688002106,41641,1519273492687614917,,0.0,0.0,11,0,0,0
1519273493688244585,41642,1519273493687727928,,0.0,0.0,11,0,0,0
1519273494688676521,41643,1519273494688230991,,0.0,0.0,11,0,0,0
1519273495688702809,41644,1519273495688045024,,0.0,0.0,11,0,0,0
1519273496688688837,41645,1519273496688209056,,0.0,0.0,11,0,0,0
1519273497687779213,41646,1519273497687302112,,0.0,0.0,11,0,0,0
1519273498689266237,41647,1519273498687891960,,0.0,0.0,11,0,0,0
1519273499687935705,41648,1519273499687371015,,0.0,0.0,11,0,0,0
1519273500687733928,41649,1519273500687275886,,0.0,0.0,11,0,0,0
1519273501688206106,41650,1519273501687654972,,0.0,0.0,11,0,0,0
1519273502688659001,41651,1519273502688129901,,0.0,0.0,11,0,0,0
1519273503688223994,41652,1519273503687459945,,0.0,0.0,11,0,0,0
1519273504688501661,41653,1519273504688067913,,0.0,0.0,11,0,0,0
1519273505688791754,41654,1519273505688234090,,0.0,0.0,11,0,0,0
1519273506688631033,41655,1519273506688087940,,0.0,0.0,11,0,0,0
1519273507688270151,41656,1519273507687773942,,0.0,0.0,11,0,0,0
1519273508688053042,41657,1519273508687633991,,0.0,0.0,11,0,0,0
1519273509688131795,41658,1519273509687575101,,0.0,0.0,11,0,0,0
1519273510687773554,41659,1519273510687391042,,0.0,0.0,11,0,0,0
1519273511688548666,41660,1519273511688091993,,0.0,0.0,11,0,0,0
1519273512688651412,41661,1519273512688193082,,0.0,0.0,11,0,0,0
1519273513688048224,41662,1519273513687589883,,0.0,0.0,11,0,0,0
1519273514688147463,41663,1519273514687563896,,0.0,0.0,11,0,0,0
1519273515688827795,41664,1519273515688169956,,0.0,0.0,10,0,0,0
1519273516688458910,41665,1519273516687941074,,0.0,0.0,10,0,0,0
1519273517688883716,41666,1519273517688323974,,0.0,0.0,10,0,0,0
1519273518688478148,41667,1519273518688102006,,0.0,0.0,10,0,0,0
1519273519688890946,41668,1519273519688148975,,0.0,0.0,10,0,0,0
1519273520688355133,41669,1519273520687998056,,0.0,0.0,10,0,0,0
1519273521688626126,41670,1519273521688184976,,0.0,0.0,10,0,0,0
1519273522687756077,41671,1519273522687246084,,0.0,0.0,10,0,0,0
1519273523688636144,41672,1519273523688200950,,0.0,0.0,10,0,0,0
1519273524688322415,41673,1519273524687805891,,0.0,0.0,10,0,0,0
1519273525688264320,41674,1519273525687808990,,0.0,0.0,10,0,0,0
1519273526688634452,41675,1519273526688221931,,0.0,0.0,10,0,0,0
1519273527688183440,41676,1519273527687797069,,0.0,0.0,10,0,0,0
1519273528688379016,41677,1519273528687906026,,0.0,0.0,10,0,0,0
1519273529689222440,41678,1519273529688241958,,0.0,0.0,10,0,0,0
1519273530688408138,41679,1519273530688029050,,0.0,0.0,10,0,0,0
1519273531688490341,41680,1519273531688071966,,0.0,0.0,10,0,0,0
1519273532688565570,41681,1519273532688177108,,0.0,0.0,10,0,0,0
1519273533688493432,41682,1519273533688081026,,0.0,0.0,10,0,0,0
1519273534688053365,41683,1519273534687500000,,0.0,0.0,10,0,0,0
1519273535688385325,41684,1519273535687830924,,0.0,0.0,10,0,0,0
1519273536688628132,41685,1519273536688195943,,0.0,0.0,10,0,0,0
1519273537689166018,41686,1519273537687995910,,0.0,0.0,10,0,0,0
1519273538688679605,41687,1519273538688225030,,0.0,0.0,10,0,0,0
1519273539688251399,41688,1519273539687669992,,0.0,0.0,10,0,0,0
1519273540688843244,41689,1519273540688201904,,0.0,0.0,10,0,0,0
1519273541688647220,41690,1519273541688097953,,0.0,0.0,10,0,0,0
1519273542688336532,41691,1519273542687932014,,0.0,0.0,10,0,0,0
1519273543688479130,41692,1519273543688091993,,0.0,0.0,10,0,0,0
1519273544688482301,41693,1519273544688110113,,0.0,0.0,10,0,0,0
1519273545688872637,41694,1519273545688222885,,0.0,0.0,10,0,0,0
1519273546688633036,41695,1519273546688220024,,0.0,0.0,10,0,0,0
1519273547688548941,41696,1519273547688113927,,0.0,0.0,10,0,0,0
1519273548688185660,41697,1519273548687737941,,0.0,0.0,10,0,0,0
1519273549688829053,41698,1519273549688108921,,0.0,0.0,10,0,0,0
