%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.current,field.lifePercent,field.lifeTime,field.charging,field.powerSupplyPresent
1519336797688310111,104946,1519336797687855958,,0.0,0.0,0,0,0,0
1519336798688161238,104947,1519336798687633991,,0.0,0.0,0,0,0,0
1519336799688184939,104948,1519336799687553882,,0.0,0.0,0,0,0,0
1519336800688388803,104949,1519336800687895059,,0.0,0.0,0,0,0,0
1519336801688115196,104950,1519336801687705993,,0.0,0.0,0,0,0,0
1519336802687872745,104951,1519336802687407970,,0.0,0.0,0,0,0,0
1519336803688633829,104952,1519336803688231945,,0.0,0.0,0,0,0,0
1519336804689008410,104953,1519336804688256025,,0.0,0.0,0,0,0,0
1519336805688297780,104954,1519336805687771081,,0.0,0.0,0,0,0,0
1519336806688613201,104955,1519336806688194036,,0.0,0.0,0,0,0,0
1519336807689063428,104956,1519336807687916994,,0.0,0.0,0,0,0,0
1519336808688986984,104957,1519336808688328981,,0.0,0.0,0,0,0,0
1519336809687689151,104958,1519336809687321901,,0.0,0.0,0,0,0,0
1519336810688465925,104959,1519336810688015937,,0.0,0.0,0,0,0,0
1519336811688452418,104960,1519336811687892913,,0.0,0.0,0,0,0,0
1519336812688969331,104961,1519336812688338994,,0.0,0.0,0,0,0,0
1519336813688332108,104962,1519336813687902927,,0.0,0.0,0,0,0,0
1519336814688535507,104963,1519336814687973022,,0.0,0.0,0,0,0,0
1519336815688761222,104964,1519336815688258886,,0.0,0.0,0,0,0,0
1519336816688741490,104965,1519336816688215970,,0.0,0.0,0,0,0,0
1519336817688642337,104966,1519336817688241958,,0.0,0.0,0,0,0,0
1519336818687977646,104967,1519336818687458992,,0.0,0.0,0,0,0,0
1519336819688552474,104968,1519336819688219070,,0.0,0.0,0,0,0,0
1519336820689466672,104969,1519336820687906980,,0.0,0.0,0,0,0,0
1519336821688177953,104970,1519336821687652111,,0.0,0.0,0,0,0,0
1519336822688633214,104971,1519336822688205003,,0.0,0.0,0,0,0,0
1519336823689437847,104972,1519336823688302040,,0.0,0.0,0,0,0,0
1519336824688876278,104973,1519336824688252925,,0.0,0.0,0,0,0,0
1519336825688607099,104974,1519336825688126087,,0.0,0.0,0,0,0,0
1519336826688387587,104975,1519336826687881946,,0.0,0.0,0,0,0,0
1519336827688086393,104976,1519336827687612056,,0.0,0.0,0,0,0,0
1519336828688660737,104977,1519336828688260078,,0.0,0.0,0,0,0,0
1519336829688416992,104978,1519336829687995910,,0.0,0.0,0,0,0,0
1519336830687702713,104979,1519336830687272071,,0.0,0.0,0,0,0,0
1519336831688625148,104980,1519336831688153982,,0.0,0.0,0,0,0,0
1519336832688489216,104981,1519336832688087940,,0.0,0.0,0,0,0,0
1519336833688374976,104982,1519336833687982082,,0.0,0.0,0,0,0,0
1519336834688177349,104983,1519336834687808990,,0.0,0.0,0,0,0,0
1519336835687944648,104984,1519336835687339067,,0.0,0.0,0,0,0,0
1519336836688844974,104985,1519336836688296079,,0.0,0.0,0,0,0,0
1519336837688628021,104986,1519336837688220024,,0.0,0.0,0,0,0,0
1519336838688584339,104987,1519336838688213109,,0.0,0.0,0,0,0,0
1519336839688636333,104988,1519336839688205957,,0.0,0.0,0,0,0,0
1519336840688427380,104989,1519336840687789916,,0.0,0.0,0,0,0,0
1519336841688585517,104990,1519336841688225984,,0.0,0.0,0,0,0,0
1519336842687883610,104991,1519336842687371015,,0.0,0.0,0,0,0,0
1519336843687622844,104992,1519336843687194108,,0.0,0.0,0,0,0,0
