%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.current,field.lifePercent,field.lifeTime,field.charging,field.powerSupplyPresent
1519231852688283389,1,1519231852687979936,,0.0,0.0,100,0,1,0
1519231853688213597,2,1519231853687818050,,0.0,0.0,100,0,1,0
1519231854687793881,3,1519231854687506914,,0.0,0.0,100,0,1,0
1519231855688388567,4,1519231855688103914,,0.0,0.0,100,0,1,0
1519231856687537294,5,1519231856687333106,,0.0,0.0,100,0,1,0
1519231857687766784,6,1519231857687541007,,0.0,0.0,100,0,1,0
1519231858688455813,7,1519231858688190937,,0.0,0.0,100,0,1,0
1519231859687738144,8,1519231859687419891,,0.0,0.0,100,0,1,0
1519231860687448255,9,1519231860687273025,,0.0,0.0,100,0,1,0
1519231861688351305,10,1519231861688163042,,0.0,0.0,100,0,1,0
1519231862688470914,11,1519231862688230037,,0.0,0.0,100,0,1,0
1519231863687820808,12,1519231863687424898,,0.0,0.0,100,0,1,0
1519231864687638704,13,1519231864687350988,,0.0,0.0,100,0,1,0
1519231865687938448,14,1519231865687393903,,0.0,0.0,100,0,1,0
1519231866687669316,15,1519231866687362909,,0.0,0.0,100,0,1,0
1519231867688294768,16,1519231867687838077,,0.0,0.0,100,0,1,0
1519231868688170981,17,1519231868687963008,,0.0,0.0,100,0,1,0
1519231869688258850,18,1519231869687961101,,0.0,0.0,100,0,1,0
1519231870688262675,19,1519231870688045024,,0.0,0.0,100,0,1,0
1519231871687878345,20,1519231871687624931,,0.0,0.0,100,0,1,0
1519231872688407362,21,1519231872688114881,,0.0,0.0,100,0,1,0
1519231873688407337,22,1519231873687997102,,0.0,0.0,100,0,1,0
1519231874687720060,23,1519231874687489986,,0.0,0.0,100,0,1,0
1519231875687791196,24,1519231875687495946,,0.0,0.0,100,0,1,0
1519231876688156589,25,1519231876687932968,,0.0,0.0,100,0,1,0
1519231877688192293,26,1519231877687760114,,0.0,0.0,100,0,1,0
1519231878688412047,27,1519231878688178062,,0.0,0.0,100,0,1,0
1519231879688040497,28,1519231879687829971,,0.0,0.0,100,0,1,0
1519231880688549723,29,1519231880688235998,,0.0,0.0,100,0,1,0
1519231881688597879,30,1519231881688199996,,0.0,0.0,100,0,1,0
1519231882688176095,31,1519231882687851905,,0.0,0.0,100,0,1,0
1519231883688385358,32,1519231883688183069,,0.0,0.0,100,0,1,0
1519231884687687225,33,1519231884687449932,,0.0,0.0,100,0,1,0
1519231885688123566,34,1519231885687876939,,0.0,0.0,100,0,1,0
1519231886687584268,35,1519231886687330961,,0.0,0.0,100,0,1,0
1519231887688433235,36,1519231887688185930,,0.0,0.0,100,0,1,0
1519231888687707444,37,1519231888687508106,,0.0,0.0,100,0,1,0
1519231889688067840,38,1519231889687850952,,0.0,0.0,100,0,1,0
1519231890688418300,39,1519231890688205957,,0.0,0.0,100,0,1,0
1519231891687759277,40,1519231891687546014,,0.0,0.0,100,0,1,0
1519231892688643294,41,1519231892688226938,,0.0,0.0,100,0,1,0
1519231893688427368,42,1519231893688196897,,0.0,0.0,100,0,1,0
1519231894688248020,43,1519231894687864065,,0.0,0.0,100,0,1,0
1519231895688638103,44,1519231895688355922,,0.0,0.0,100,0,1,0
1519231896688592458,45,1519231896687978982,,0.0,0.0,100,0,1,0
1519231897688092527,46,1519231897687875032,,0.0,0.0,100,0,1,0
1519231898688673523,47,1519231898687999010,,0.0,0.0,100,0,1,0
1519231899688559619,48,1519231899688251972,,0.0,0.0,100,0,1,0
1519231900688230404,49,1519231900687680959,,0.0,0.0,100,0,1,0
1519231901688485462,50,1519231901688266038,,0.0,0.0,100,0,1,0
1519231902688497927,51,1519231902688246965,,0.0,0.0,100,0,1,0
1519231903688570615,52,1519231903688281059,,0.0,0.0,100,0,1,0
