%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.current,field.lifePercent,field.lifeTime,field.charging,field.powerSupplyPresent
1519357912688626825,126061,1519357912688168048,,0.0,0.0,0,0,0,0
1519357913688836872,126062,1519357913688203096,,0.0,0.0,0,0,0,0
1519357914687812616,126063,1519357914687396049,,0.0,0.0,0,0,0,0
1519357915688335095,126064,1519357915687903881,,0.0,0.0,0,0,0,0
1519357916688232415,126065,1519357916687771081,,0.0,0.0,0,0,0,0
1519357917688450138,126066,1519357917688152074,,0.0,0.0,0,0,0,0
1519357918688616968,126067,1519357918688055038,,0.0,0.0,0,0,0,0
1519357919688221842,126068,1519357919687789916,,0.0,0.0,0,0,0,0
1519357920688564643,126069,1519357920688170909,,0.0,0.0,0,0,0,0
1519357921688616911,126070,1519357921688215017,,0.0,0.0,0,0,0,0
1519357922688359080,126071,1519357922687915086,,0.0,0.0,0,0,0,0
1519357923688409563,126072,1519357923687863111,,0.0,0.0,0,0,0,0
1519357924687602845,126073,1519357924687249898,,0.0,0.0,0,0,0,0
1519357925688246278,126074,1519357925687848091,,0.0,0.0,0,0,0,0
1519357926688610259,126075,1519357926688195943,,0.0,0.0,0,0,0,0
1519357927687742417,126076,1519357927687341928,,0.0,0.0,0,0,0,0
1519357928688299274,126077,1519357928687869071,,0.0,0.0,0,0,0,0
1519357929688329215,126078,1519357929687911987,,0.0,0.0,0,0,0,0
1519357930688130163,126079,1519357930687355041,,0.0,0.0,0,0,0,0
1519357931688358988,126080,1519357931687619924,,0.0,0.0,0,0,0,0
1519357932688631244,126081,1519357932688277959,,0.0,0.0,0,0,0,0
1519357933688517692,126082,1519357933687971115,,0.0,0.0,0,0,0,0
1519357934687917875,126083,1519357934687455892,,0.0,0.0,0,0,0,0
1519357935687974447,126084,1519357935687508106,,0.0,0.0,0,0,0,0
1519357936688158025,126085,1519357936687704086,,0.0,0.0,0,0,0,0
1519357937688047288,126086,1519357937687668085,,0.0,0.0,0,0,0,0
1519357938688389933,126087,1519357938688003063,,0.0,0.0,0,0,0,0
1519357939688447129,126088,1519357939688071012,,0.0,0.0,0,0,0,0
1519357940687942757,126089,1519357940687448978,,0.0,0.0,0,0,0,0
1519357941688182071,126090,1519357941687799930,,0.0,0.0,0,0,0,0
1519357942688919113,126091,1519357942688263893,,0.0,0.0,0,0,0,0
1519357943687630827,126092,1519357943687323093,,0.0,0.0,0,0,0,0
1519357944688675214,126093,1519357944688218116,,0.0,0.0,0,0,0,0
1519357945687976253,126094,1519357945687275886,,0.0,0.0,0,0,0,0
1519357946687805466,126095,1519357946687403917,,0.0,0.0,0,0,0,0
