%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.current,field.lifePercent,field.lifeTime,field.charging,field.powerSupplyPresent
1519220090690830590,11335,1519220090690208911,,0.0,0.0,31,0,1,0
1519220091690439987,11336,1519220091689747095,,0.0,0.0,31,0,1,0
1519220092690610492,11337,1519220092689851045,,0.0,0.0,31,0,1,0
1519220093690239432,11338,1519220093689526081,,0.0,0.0,31,0,0,0
1519220094690903314,11339,1519220094690130949,,0.0,0.0,31,0,0,0
1519220095690968278,11340,1519220095690200090,,0.0,0.0,31,0,0,0
1519220096690439021,11341,1519220096689810991,,0.0,0.0,31,0,0,0
1519220097690629782,11342,1519220097690037012,,0.0,0.0,31,0,0,0
1519220098689873384,11343,1519220098689327001,,0.0,0.0,31,0,0,0
1519220099689940765,11344,1519220099689376115,,0.0,0.0,31,0,0,0
1519220100690676117,11345,1519220100690097093,,0.0,0.0,31,0,0,0
1519220101690784567,11346,1519220101690231084,,0.0,0.0,31,0,0,0
1519220102690856252,11347,1519220102690285921,,0.0,0.0,31,0,0,0
1519220103689939857,11348,1519220103689244985,,0.0,0.0,31,0,0,0
1519220104690866361,11349,1519220104690171003,,0.0,0.0,31,0,0,0
1519220105690901487,11350,1519220105690205097,,0.0,0.0,31,0,0,0
1519220106690042958,11351,1519220106689486026,,0.0,0.0,31,0,0,0
1519220107690953676,11352,1519220107690212965,,0.0,0.0,31,0,0,0
1519220108690960875,11353,1519220108690207958,,0.0,0.0,31,0,0,0
1519220109691041160,11354,1519220109690217971,,0.0,0.0,31,0,0,0
1519220110690916289,11355,1519220110690231084,,0.0,0.0,31,0,0,0
1519220111690917305,11356,1519220111690222024,,0.0,0.0,31,0,0,0
1519220112690963576,11357,1519220112690169095,,0.0,0.0,31,0,0,0
1519220113690768417,11358,1519220113690196037,,0.0,0.0,31,0,0,0
1519220114690829577,11359,1519220114690016984,,0.0,0.0,31,0,0,0
1519220115690122832,11360,1519220115689357042,,0.0,0.0,31,0,0,0
1519220116690438055,11361,1519220116689726114,,0.0,0.0,31,0,0,0
1519220117690795533,11362,1519220117690188884,,0.0,0.0,31,0,0,0
1519220118690350222,11363,1519220118689878940,,0.0,0.0,31,0,0,0
1519220119690648758,11364,1519220119689891099,,0.0,0.0,31,0,0,0
1519220120690888640,11365,1519220120690221071,,0.0,0.0,31,0,0,0
1519220121690526903,11366,1519220121689873933,,0.0,0.0,31,0,0,0
1519220122690848195,11367,1519220122690216064,,0.0,0.0,31,0,0,0
1519220123690876899,11368,1519220123690213918,,0.0,0.0,31,0,0,0
1519220124690145434,11369,1519220124689469099,,0.0,0.0,31,0,0,0
1519220125690578621,11370,1519220125689968109,,0.0,0.0,31,0,0,0
1519220126690864686,11371,1519220126690195083,,0.0,0.0,31,0,0,0
1519220127690917592,11372,1519220127690212011,,0.0,0.0,31,0,0,0
1519220128690615354,11373,1519220128689832925,,0.0,0.0,31,0,0,0
1519220129690036090,11374,1519220129689471006,,0.0,0.0,31,0,0,0
1519220130690728004,11375,1519220130690176010,,0.0,0.0,31,0,0,0
1519220131690936725,11376,1519220131690227985,,0.0,0.0,31,0,0,0
1519220132689880987,11377,1519220132689244985,,0.0,0.0,31,0,0,0
1519220133690804206,11378,1519220133690054893,,0.0,0.0,31,0,0,0
1519220134690809117,11379,1519220134690200090,,0.0,0.0,31,0,0,0
1519220135689975871,11380,1519220135689354896,,0.0,0.0,31,0,0,0
1519220136689823759,11381,1519220136689219951,,0.0,0.0,31,0,0,0
1519220137689858939,11382,1519220137689306020,,0.0,0.0,31,0,0,0
1519220138690007754,11383,1519220138689328908,,0.0,0.0,31,0,0,0
1519220139690327918,11384,1519220139689606904,,0.0,0.0,31,0,0,0
1519220140690825612,11385,1519220140690212965,,0.0,0.0,31,0,0,0
1519220141690172651,11386,1519220141689399003,,0.0,0.0,31,0,0,0
1519220142690251797,11387,1519220142689532041,,0.0,0.0,31,0,0,0
1519220143690165621,11388,1519220143689567089,,0.0,0.0,31,0,0,0
1519220144690983163,11389,1519220144690221071,,0.0,0.0,31,0,0,0
1519220145690854246,11390,1519220145690188884,,0.0,0.0,31,0,0,0
1519220146690907852,11391,1519220146690198898,,0.0,0.0,31,0,0,0
1519220147690958387,11392,1519220147690186023,,0.0,0.0,31,0,0,0
1519220148690909380,11393,1519220148690097093,,0.0,0.0,31,0,0,0
1519220149690953669,11394,1519220149690191030,,0.0,0.0,31,0,0,0
1519220150690270430,11395,1519220150689651012,,0.0,0.0,31,0,0,0
1519220151690637961,11396,1519220151690038919,,0.0,0.0,31,0,0,0
1519220152690859939,11397,1519220152690215110,,0.0,0.0,31,0,0,0
1519220153690611843,11398,1519220153690103054,,0.0,0.0,31,0,0,0
1519220154690818652,11399,1519220154690202951,,0.0,0.0,31,0,0,0
1519220155690126895,11400,1519220155689454078,,0.0,0.0,31,0,0,0
1519220156689991379,11401,1519220156689282894,,0.0,0.0,31,0,0,0
1519220157690452920,11402,1519220157689780950,,0.0,0.0,31,0,0,0
1519220158690748662,11403,1519220158689879894,,0.0,0.0,31,0,0,0
1519220159691017638,11404,1519220159690216064,,0.0,0.0,31,0,0,0
1519220160690179841,11405,1519220160689522981,,0.0,0.0,31,0,0,0
1519220161690259775,11406,1519220161689589023,,0.0,0.0,31,0,0,0
1519220162690829400,11407,1519220162690126895,,0.0,0.0,31,0,0,0
1519220163689882725,11408,1519220163689244985,,0.0,0.0,31,0,0,0
1519220164690942518,11409,1519220164690212965,,0.0,0.0,31,0,0,0
1519220165690546411,11410,1519220165689873933,,0.0,0.0,31,0,0,0
1519220166690636279,11411,1519220166690056085,,0.0,0.0,31,0,0,0
1519220167689857096,11412,1519220167689301013,,0.0,0.0,31,0,0,0
1519220168691021588,11413,1519220168690208911,,0.0,0.0,31,0,0,0
1519220169691039732,11414,1519220169690236091,,0.0,0.0,31,0,0,0
1519220170691232598,11415,1519220170690155029,,0.0,0.0,31,0,0,0
1519220171691278058,11416,1519220171690185070,,0.0,0.0,31,0,0,0
1519220172690676106,11417,1519220172689913988,,0.0,0.0,31,0,0,0
1519220173690808943,11418,1519220173690237998,,0.0,0.0,31,0,0,0
1519220174690615784,11419,1519220174689940929,,0.0,0.0,31,0,0,0
1519220175690781683,11420,1519220175689966917,,0.0,0.0,31,0,0,0
1519220176691018520,11421,1519220176690210103,,0.0,0.0,31,0,0,0
1519220177690801155,11422,1519220177690073013,,0.0,0.0,31,0,0,0
1519220178690819261,11423,1519220178690216064,,0.0,0.0,31,0,0,0
1519220179690900139,11424,1519220179690220117,,0.0,0.0,31,0,0,0
1519220180690815614,11425,1519220180690190076,,0.0,0.0,31,0,0,0
1519220181690963356,11426,1519220181690206050,,0.0,0.0,31,0,0,0
1519220182690710805,11427,1519220182690052032,,0.0,0.0,31,0,0,0
1519220183690807992,11428,1519220183690192937,,0.0,0.0,31,0,0,0
1519220184690962638,11429,1519220184690223932,,0.0,0.0,31,0,0,0
